url,country,stance_score_mean,category,policy_example
https://www.tu.berlin/en/dima/news-details/announcement-the-usage-of-ai-tools-policy,Germany,0.8888888888888888,Most Restrictive,prof volker markl chair database system informa management dima technische universit berlin june policy statement effective immediately general policy...
https://oit.colorado.edu/services/it-security/artificial-intelligence-ai-data-security-guidelines,United States,0.75,Most Restrictive,boulder guideline implementation subject applicable boulder policy standard guideline question assess implication use case please email security color...
https://www.gla.ac.uk/myglasgow/sld/ai/students/,United Kingdom,0.6956521739130435,Most Restrictive,university glasgow position university glasgow belief artificial intelligence tool potentially transformative well disruptive increasingly feature aca...
https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance,United Kingdom,0.6301369863013698,Most Restrictive,guidance guidance university cambridge staff administrative use generative page provides guidance use generative artificial intelligence genai adminis...
https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct,Australia,0.5465116279069767,Most Restrictive,academic integrity student conduct student responsible maintaining value tradition academic reputation academic community dedicated pursuit creation k...
https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt,Canada,-0.6666666666666666,Most Permissive,quick link artificial intelligence everywhere come new opportunity challenge new platform evolve must way instructor ta student use given rapid pace c...
https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx,United Kingdom,-0.5,Most Permissive,using generative understand use generative artificial intelligence appropriately study preparation future generative generative study university notti...
https://lehre-virtuell.uni-frankfurt.de/knowhow/allgemeine-empfehlungen-im-umgang-mit-generativer-ki-in-studium-und-lehre/,Germany,-0.5,Most Permissive,general recommendation dealing generative study teaching use generative gki chatgpt potential comprehensively sustainably transform academic work educ...
https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools,United Kingdom,-0.4745762711864407,Most Permissive,guidance safe responsible use gen tool aim guidance help use genai tool safely responsibly feel confident exploring different way using technology sup...
https://www.staffnet.manchester.ac.uk/dcmsr/communications/ai-guidelines/,United Kingdom,-0.4411764705882353,Most Permissive,artificial intelligence guideline guideline guideline developed support strategic collaborative approach use tool system directorate communication mar...
https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative,United Kingdom,0.2962962962962963,Balanced,general guidance student using generative tool study university trust act integrity use generative study not ban use generative though use restricted ...
https://www.uregina.ca/policy/browse-policy/policy-ops-080-050.html,Canada,0.25806451612903225,Balanced,responsible use generative artificial intelligence introduction generative artificial intelligence genai potential transform many aspect learning work...
https://uni-freiburg.de/en/research/quality-assurance/good-research-practice/policy-on-the-use-of-generative-ai-in-research/,Germany,0.23333333333333334,Balanced,policy use generative research status december addition presentation website also download policy pdf policy university freiburg would like raise awar...
